reference;name;family;price;category;description;disponibility;image;quantity;selled;sous_category;reste
214756012;VIN ROUGE BARON DE LIRONDEAU 75CL;21;3 000,00;Boissons;;Oui;VIN ROUGE BARON DE LIRONDEAU 75CL.avif;100;0;Vins;100
21478001;VIN ROUGE BDX SUPERIEUR LE PEUY SAINCRIT 75CL;21;7 000,00;Boissons;;Oui;VIN ROUGE BDX SUPERIEUR LE PEUY SAINCRIT 75CL.avif;100;0;Vins;100
2147812;VIN ROUGE CHATEAUX LAVAUD 75CL;21;7 200,00;Boissons;;Oui;VIN ROUGE CHATEAUX LAVAUD 75CL.avif;100;0;Vins;100
214784;VIN EFFERVESCENT PERLES DE LOUIS VALLON 75CL;21;7 500,00;Boissons;;Oui;VIN EFFERVESCENT PERLES DE LOUIS VALLON 75CL.avif;100;0;Vins;100
2147890;VIN BLANC MOELLEUX TERRE DE CRU;21;3 700,00;Boissons;;Oui;VIN BLANC MOELLEUX TERRE DE CRU.avif;100;0;Vins;100
214799;VIN ROUGE LE BAR MAUCAILLOU BORDEAU SUPERIEUR 75CL;21;7 000,00;Boissons;;Oui;VIN ROUGE LE BAR MAUCAILLOU BORDEAU SUPERIEUR 75CL.avif;100;0;Vins;100
214809;VIN MOUSSEUX DEMI SEC BRUT DARGENT CHARDONNAY 2020 1.5L;21;13 000,00;Boissons;;Oui;VIN MOUSSEUX DEMI SEC BRUT DARGENT CHARDONNAY 2020 1.5L.avif;100;0;Vins;100
21487;VIN RROUGE COTE DE BOURG LE TERTRE DE LEYLE 2022 750ML;21;6 950,00;Boissons;;Oui;VIN RROUGE COTE DE BOURG LE TERTRE DE LEYLE 2022 750ML.avif;100;0;Vins;100
2148701;VIN ROSE LE CANON MARECHAL SYRA / MOURVEDRE BIO 2020 750ML;21;7 500,00;Boissons;;Oui;VIN ROSE LE CANON MARECHAL SYRA MOURVEDRE BIO 2020 750ML.avif;100;0;Vins;100
214899;VIN ROUGE BORDEAU BARONNE ERES 750ML;21;7 200,00;Boissons;;Oui;VIN ROUGE BORDEAU BARONNE ERES 750ML.avif;100;0;Vins;100
21495;VIN ROUGE BORDEAU ELEVEE EN FUT DU CHE LOUIS ESCHENAUER BORDEAUX 2012;21;5 500,00;Boissons;;Oui;VIN ROUGE BORDEAU ELEVEE EN FUT DU CHE LOUIS ESCHENAUER BORDEAUX 2012.avif;100;0;Vins;100
214980;VIN ROUGE MERLOT PAYS D'OC LA CHRETIENNE 75CL;21;4 150,00;Boissons;;Oui;VIN ROUGE MERLOT PAYS D'OC LA CHRETIENNE 75CL.avif;100;0;Vins;100
21499;VIN BLANC COLOMBARD SAUVIGNON 750ML JP CHENET;21;4 500,00;Boissons;;Oui;VIN BLANC COLOMBARD SAUVIGNON 750ML JP CHENET.avif;100;0;Vins;100
21500;VIN ROUGE CABERNET SYRAH DECORE JP CHENET  1.5L;21;7 100,00;Boissons;;Oui;VIN ROUGE CABERNET SYRAH DECORE JP CHENET  1.5L.avif;100;0;Vins;100
2150000;VIN BLANC MOELLEUX HAUT VALLON 75CL;21;3 400,00;Boissons;;Oui;VIN BLANC MOELLEUX HAUT VALLON 75CL.avif;100;0;Vins;100
2150001;VIN ROUGE DOMAINE DE LA BAUME LANGNEVOC PEZENAS 750ML;21;21 000,00;Boissons;;Oui;VIN ROUGE DOMAINE DE LA BAUME LANGNEVOC PEZENAS 750ML.avif;100;0;Vins;100
